ticker,name,currency,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
gwrs,Global Water Resources Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,BB,Medium,B,Medium,B,Medium,367,297,235,899,2022-04-17,BB,Medium,1434728
ha,Hawaiian Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,BB,Medium,B,Medium,200,321,200,721,2022-04-17,B,Medium,1172222
clsk,CleanSpark Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,570,326,310,1206,2022-06-10,A,High,827876
clsd,Clearside Biomedical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,215,230,200,645,2022-07-26,B,Medium,1539029
haac,Health Assurance Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,BB,Medium,200,258,300,758,2022-06-10,BB,Medium,1824013
hafc,Hanmi Financial Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,250,207,233,690,2022-04-17,B,Medium,1109242
clst,Catalyst Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,BB,Medium,B,Medium,260,350,267,877,2022-06-11,BB,Medium,1849867
clwt,Euro Tech Holdings Company Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Trading Companies and Distributors,B,Medium,B,Medium,B,Medium,230,201,210,641,2022-04-17,B,Medium,1026662
clxt,Calyxt Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,535,322,325,1182,2022-06-10,BBB,High,1705843
cmbm,Cambium Networks Corp,USD,NASDAQ NMS - GLOBAL MARKET,Communications,A,High,BB,Medium,BB,Medium,505,337,300,1142,2022-06-10,BBB,High,1738177
cmco,Columbus McKinnon Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,B,Medium,BB,Medium,B,Medium,200,323,240,763,2022-04-16,BB,Medium,1005229
evk,Ever-Glory International Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Textiles Apparel and Luxury Goods,B,Medium,B,Medium,B,Medium,200,211,210,621,2022-04-17,B,Medium,943184
clvs,Clovis Oncology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,225,212,300,737,2022-04-16,B,Medium,1466301
clvr,Clever Leaves Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,225,243,205,673,2022-06-10,B,Medium,1819615
happ,Happiness Development Group Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,B,Medium,B,Medium,BB,Medium,225,207,300,732,2022-06-10,B,Medium,1751876
hbcp,Home Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,230,202,200,632,2022-04-17,B,Medium,1436425
hbio,Harvard Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,B,Medium,B,Medium,BB,Medium,250,221,300,771,2022-04-17,BB,Medium,1123494
hbnc,Horizon Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,BB,Medium,B,Medium,255,321,233,809,2022-04-17,BB,Medium,706129
hbt,HBT Financial Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,BB,Medium,245,275,300,820,2022-06-10,BB,Medium,775215
hcat,Health Catalyst Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,A,High,BB,Medium,BB,Medium,545,324,320,1189,2022-06-10,BBB,High,1636422
hcar,Healthcare Services Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,BB,Medium,245,205,300,750,2022-06-10,BB,Medium,1824846
harp,Harpoon Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BBB,High,BB,Medium,BB,Medium,485,300,310,1095,2022-06-10,BBB,High,1708493
hayn,Haynes International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Metals and Mining,A,High,BB,Medium,BB,Medium,500,301,300,1101,2022-04-17,BBB,High,858655
pnbk,Patriot National Bancorp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,BB,Medium,B,Medium,205,302,210,717,2022-04-18,B,Medium,1098146
hcdi,Harbor Custom Development Inc,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,B,Medium,B,Medium,B,Medium,222,221,208,651,2022-06-10,B,Medium,1784567
hcci,Heritage-Crystal Clean Inc,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,A,High,BBB,High,BB,Medium,525,400,300,1225,2022-04-17,A,High,1403431
pnfp,Pinnacle Financial Partners Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,BB,Medium,B,Medium,271,328,250,849,2022-11-08,BB,Medium,1115055
pnt,POINT Biopharma Global Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,B,Medium,B,Medium,320,221,285,826,2022-06-11,BB,Medium,1811764
poai,Predictive Oncology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,278,297,220,795,2022-06-10,BB,Medium,1446159
pola,Polar Power Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,B,Medium,200,200,200,600,2022-06-05,B,Medium,1622345
podd,Insulet Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,215,233,205,653,2022-11-07,B,Medium,1145197
powi,Power Integrations Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,B,Medium,BB,Medium,575,285,305,1165,2022-11-08,BBB,High,833640
